"name","address","zip","latitude","longitude","hours","remarks"
"Boston Public Library - Faneuil","419 Faneuil Street, Boston, MA","02135","42.351329","-71.167872","Monday: 10 A.M. – 6 P.M.\r\nTuesday: 12 P.M. – 8 P.M.\r\nWednesday And Thursday: 10 A.M. – 6 P.M.\r\nFriday: 9 A.M. – 5 P.M.\r\nSaturday: 9 A.M. – 2 P.M.\r\nSunday: Closed","One Unisex Bathroom Stall (It's Not Wheelchair-accessible)\r\nNo Family Bathroom\r\nNeed To Use Stairs To Enter Building, Bathroom"
"Boston Public Library - Honan-Allston","300 North Harvard St, Allston, MA","02134","42.360192","-71.128493","Monday: 12 P.M. – 8 P.M.\r\nTuesday: 10 A.M. – 6 P.M.\r\nWednesday: 12 P.M. – 8 P.M.\r\nThursday: 10 A.M. – 6 P.M.\r\nFriday And Saturday: 9 A.M. – 5 P.M.\r\nSunday: Closed","Wheelchair-Accessible Stalls\r\nThree Gender-Specific Bathrooms (One Male, Two Female)\r\nThree Unisex Stalls (They Each Feature Changing Tables For Families)\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Boston Fire Department District 4 Engine 7 And Tower 17","200 Columbus Avenue, Boston, MA","02116","42.348930","-71.070935","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathroom\r\nDon't need to use stairs to enter the building or bathroom"
"Boston Fire Department District 4 Engine 33 And Ladder 15","941 Boylston Street, Boston, MA","02116","42.350403","-71.076194","24/7","One unisex, wheelchair-accessible stall\r\nNo family bathroom\r\nDon't need to use stairs to enter the building or bathroom"
"Boston Public Library - Central","700 Boylston St, Boston, MA","02116","42.349330","-71.078655","Monday - Thursday: 9 A.M. - 9 P.M.\r\nFriday - Saturday: 9 A.M. - 5 P.M.\r\nSunday: 1 P.M. - 5 P.M.","Wheelchair-Accessible Stalls\r\nSix Gender-Specific Bathrooms (Three Male Stalls, Three Female Stalls)\r\nOne Unisex Stall\r\nFamily Bathrooms With Changing Stations\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"BCYF Clougherty Pool","331 Bunker Hill St, Boston, MA","02129","42.381378","-71.067120","ONLY OPEN DURING THE SUMMER, WEATHER PERMITTING\r\n\r\nMonday Through Friday, 11 A.M. - 7 P.M.","Wheelchair-Accessible Stalls\r\nThere Is One Female Stall And One Unisex Stall\r\nThere Is No Family Bathroom\r\nDon't Need To Use Stairs To Enter Building, Bathroom\r\nVisitors Must Sign In At Front Desk"
"BCYF Golden Age","382 Main St, Charlestown, MA","02129","42.379766","-71.069902","Monday Through Friday, 9 A.M. - 5 P.M.","Don't Need To Use Stairs To Enter Building Or Bathroom\r\nVisitors Must Sign In At Front Desk"
"Boston Fire Department District 3 Engine 50","34 Winthrop St, Boston, MA","02129","42.374320","-71.061054","24/7","One Unisex, Wheelchair-Accessible Stall\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter The Building Or Bathroom"
"Boston Public Library - Charlestown","179 Main St, Charlestown, MA","02129","42.374530","-71.063585","Monday: 12 – 8 P.M.\r\nTuesday And Wednesday: 10 A.M. – 6 P.M.\r\nThursday: 12 P.M. – 8 P.M.\r\nFriday: 9 A.M. – 5 P.M.\r\nSaturday: 9 A.M.–2 P.M.\r\nSunday: Closed","Gender-Specific Bathrooms (Two Male Stalls, Two Female Stalls)\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Charlestown Marina 1 Pier 8","103 Thirteenth St, Charlestown, MA","02129","42.377008","-71.050750","9 A.M. - 5 P.M. Every Day","No Wheelchair Accessible Stalls Or Family Bathrooms\r\nGender-Specific Bathrooms (Two Male Stalls And Four Female Stalls)\r\nNeed To Use Stairs To Enter Building Or Bathroom"
"City Toilet","197 Eighth St, Boston, MA","02129","42.373422","-71.051964","24/7","One Wheelchair-Accessible, Unisex Stall\r\nNo Family Bathroom\r\nCosts 25 Cents Per Use"
"Harborview At The Navy Yard","250 First Ave, Charlestown, MA","02129","42.377351","-71.050018","6 A.M. - 12 A.M.","One Unisex, Wheelchair Accessible Stall\r\nNo Gender-Specific Or Family Bathrooms\r\nDon't Need To Use Stairs To Enter Building Or Bathroom"
"One Constitution Center","1 Constitution Plaza, Charlestown, MA","02129","42.371464","-71.059925","Monday Through Friday, 7 A.M. - 7 P.M.","Wheelchair Accessible Stalls\r\nGender-Specific Bathrooms (Four Male Stalls And Four Female Stalls)\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter Building Or Bathroom (Located On Ground Floor)"
"Residence Inn By Marriott Boston Harbor","34-44 Charles River Ave, Boston, MA","02129","42.370837","-71.060566","24/7","Wheelchair Accessible Stalls\r\nGender-Specific Bathrooms (Two Male Stalls And Two Female Stalls)\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter Building Or Bathroom"
"Spaulding Rehabilitation Hospital Boston","300 First Ave, Charlestown, MA","02129","42.378586","-71.049090","1 A.M. - 8 P.M.","Wheelchair Accessible Stalls \r\nGender-Specific Bathroom (Six Male And Six Female Stalls)\r\nBathrooms On Main Floor And Additional Bathrooms On Other Floors\r\nPrivate Bathroom On Main Floor Is Unisex And Can Be Used As Family Bathroom\r\nDon't Need To Use Stairs To Enter Building Or Bathrooms"
"Boston Public Library - Chinatown","2 Boylston St, Boston, MA","02111","42.352084","-71.063134","Monday Through Thursday, 10 A.M. - 6 P.M.\r\nFriday, 9 A.M. - 5 P.M.","Wheelchair-Accessible Stalls\r\nGender-Specific Bathrooms (Two Male Stalls, Four Female Stalls)\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter Building, Bathroom\r\nRestroom Door Must Be Buzzed Open By Person At Desk"
"Boston Public Library - West End","151 Cambridge St, Boston, MA","02114","42.361544","-71.065004","Monday Through Wednesday: 10 A.M. – 6 P.M.\r\nThursday: 12 P.M. – 8 P.M.\r\nFriday: 9 A.M. – 5 P.M.\r\nSaturday: 9 A.M. – 2 P.M.","Wheelchair-Accessible Stalls\r\nGender-Specific Bathrooms (One Male Stall, One Female Stall)\r\nUnisex Bathroom\r\nFamily Bathroom (Wheelchair Accessible And Has A Changing Table)\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Newton City Hall","1000 Commonwealth Avenue, Newton Centre, MA","02459","42.337384","-71.208733","8:30AM–5PM Weekdays",""
"Newton Free Library","330 Homer St, Newton, MA","02459","42.336821","-71.209526","Mon-Thurs: 9AM-9PM\r\nFri: 9AM-6PM\r\nSat: 9AM-5PM\r\nSun: 1-5PM",""
"BCYF Grove Hall","51 Geneva Avenue, Dorchester MA","02121","42.308344","-71.082208","Monday Through Friday: 10 A.M. - 6 P.M.\r\nSaturday And Sunday: Closed","One Unisex, Wheelchair-Accessible Stall\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter The Building Or Bathroom\r\nMust ring doorbell to enter\r\nVisitors Must Sign In At Front Desk"
"Wellesley Free Library -- Hills Branch","210 Washington St, Wellesley MA","02482","42.315276","-71.270475","Tuesday, Thursday: 10 AM - 8 PM\r\nWednesday, Friday, Saturday: 10 AM - 5 PM\r\nSunday, Monday: Closed","Closed on Saturdays: July and August"
"Wellesley Free Library -- Fells Branch","308 Weston Road, Wellesley, MA","02482","42.304607","-71.312387","Tuesday - Saturday: 10 AM - 5 PM\r\nSunday: Closed","Closed on Saturdays: July and August"
"Wellesley Free Library -- Main Branch","530 Washington Street, Wellesley, MA","02482","42.296844","-71.290658","Monday - Thursday: 9 AM - 9 PM\r\nFriday: 9 AM - 6 PM\r\nSaturday: 9 AM - 5 PM\r\nSunday: 1 PM - 5 PM",""
"Wellesley City Hall","525 Washington St, Wellesley, MA","02482","42.297950","-71.291711","Weekdays: 8 AM - 5 PM\r\nWeekends: Closed",""
"Wellesley Fire Department","457 Worcester St, Wellesley MA","02482","42.311518","-71.277811","TBD",""
"Wellesley Police Department","485 Washington St, Wellesley MA","02482","42.300520","-71.288181","TBD",""
"Hunnewell Field","438 Washington Street, Wellesley, MA","02481","42.303585","-71.283114","TBD","Men's, Women's, and Handicap restroom"
"Waltham City Hall","610 Main St, Waltham, MA","02452","42.376064","-71.235340","Weekdays: 8:30 AM - 4:30 PM\r\nWeekends: Closed",""
"Waltham Public Library","735 Main St, Waltham, MA","02452","42.376267","-71.239807","Monday - Thursday: 9 AM - 9 PM\r\nFriday, Saturday: 9 AM - 5 PM\r\nSunday: 1 PM - 5 PM",""
"Arlington Town Hall","730 Massachusetts Avenue Arlington, MA","02476","42.416263","-71.157286","TBD",""
"Robbins Library","700 Massachusetts Avenue, Arlington, MA","02476","42.416230","-71.157052","Monday - Wednesday: 9 AM - 9 PM\r\nThursday: 1 PM - 9 PM\r\nFriday - Saturday: 9 AM - 5 PM\r\nSunday: Closed",""
"Lazazzero Playground","910 Moody Street, Waltham MA","02452","42.360751","-71.239103","10AM - 7PM","Seasonal"
"Braintree Station (MBTA)","197 Ivory St, Braintree, MA .","02184","42.207571","-71.001629","24/7","Fare Control (inside fare gates)\r\nLayout: single stall, men/women\r\nCleanliness Rating: 1/3 for men, 2/3 for women\r\nBathrooms are located to the left as you head toward the faregates to exit. The men's room was a grim affair, with scuffed-up, cracked walls and some residue in the toilet from the previous person's visit. There was liquid everywhere, and the door didn't lock. The women's room had the same grim aesthetic, but was not nearly as gross.\r\n\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"Quincy Adams Station (MBTA)","480 Centre St, Quincy, MA","02169","42.233491","-71.010392","24/7","Fare Control (inside fare gates)\r\nLayout: multiple stalls, men/women\r\nCleanliness Rating: 1/3 for men, 2/3 for women\r\nBathrooms are located to the right as you head toward the faregates to exit. The women's room had all of the required amenities, and aside from toilet paper on the floor, was not particularly disgusting. The men's room, on the other hand, was smelly, had no soap, and featured a scuffed-up mirror.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"Wollaston Station (MBTA)","90 Woodbine St, Quincy, MA","02171","42.266963","-71.019912","24/7","Fare Control (inside fare gates)\r\nLayout: single stall, men/women\r\nCleanliness Rating: 3/3 (for now)\r\nBathrooms are located to the right as you walk from the staircase from the station's footbridge towards the fare gates. These were visited on the day of the station's opening, and may have changed since. The men's and women's rooms were both quite clean; the doors didn't lock at the time, but they apparently do now. The women's room has a tampon dispenser that was empty at the time.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"North Quincy Station (MBTA)","26 W Squantum St, Quincy MA","02171","42.275282","-71.028358","24/7","Fare Control (inside fare gates)\r\nLayout: single stall, all genders\r\nCleanliness Rating: 2/3\r\nBathroom is located at the Hancock Street entrance, on the left as you're heading up the stairs to exit. The door is basically unmarked; the station inspector said it doesn't lock, but it seemed to lock fine. Inside, there was some toilet paper on the floor and a bit of a grim atmosphere, but it wasn't bad otherwise.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"Ashmont Station (MBTA)","1914 Dorchester Ave, Boston, MA","02124","42.284085","-71.064618","24/7","Fare Control (inside fare gates)\r\nLayout: single stall, all genders\r\nCleanliness Rating: 1/3\r\nProbably the hardest bathroom to find on the entire MBTA. Bathroom is located to the right when you enter the faregates from the Mattapan High Speed Line or busway. The door says ""T Personnel Only,"" but a piece of paper taped on says ""Unlocked, Open Door."" Enter through, and you'll find a door on the left with another piece of paper taped on that says ""Mens and Womans Bathroom."" Despite being so hard to find, it was still disgusting, from the smell to the aesthetic to the residue liquid inside the toilet.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"JFK/UMass Station (MBTA)","599 Old Colony Ave, Boston, MA","02127","42.321580","-71.052226","24/7","Fare Control (inside fare gates)\r\nLayout: single stall, all genders\r\nCleanliness Rating: 1/3\r\nBathroom is located to the left as you head toward the faregates to exit. It is a single stall; when we were here, it was a fairly long wait, causing the first person in line to give up. Inside, the bathroom was smelly, with toilet paper and liquid on the floor. The door was covered in graffiti.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"Forest Hills Station (MBTA)","3802 Washington St, Boston, MA","02130","42.298081","-71.115852","24/7","Fare Control (inside fare gates)\r\nLayout: multiple stalls, men/women\r\nCleanliness Rating: 1/3 for men, 2/3 for women\r\nThe men's room is located to the right as you enter the faregates from outside, while the women's room is located to the left. The only problems with the women's room were less-than-ideal aesthetics and a tiny bit of liquid on the floor, but it was otherwise fine. The men's room, on the other hand, was disgusting in nearly every way. Both toilets had residue from past users, there was no soap, and it smelled.\r\nSource: www.milesintransit.com/2019/09/01/the-unofficial-mbta-bathroom-map/"
"BCYF Mason Pool","159 Norfolk Avenue, Dorchester MA","02119","42.325783","-71.070853","Tuesday and Friday, 12 - 8 P.M.\r\nWednesday and Thursday, 10 A.M. - 6 P.M.\r\nSaturday, 9 A.M. - 5 P.M.","Schedule may change in summer\r\nVisitors must sign in at front desk"
"Boston Fire Department District 7, Engine 17, And Ladder 7","7 Parish Street, Dorchester MA","02119","42.307896","-71.062392","24/7","One Unisex, Wheelchair-accessible Stall\r\nNo Family Bathrooms\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Boston Fire Department District 8, Engine 20","301 Neponset Avenue, Dorchester MA","02119","42.288774","-71.047527","24/7","One Unisex, Wheelchair-accessible Stall\r\nNo Family Bathrooms\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Boston Police Department District C-11","40 Gibson Street, Dorchester MA","02119","42.297768","-71.059218","24/7","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, one female stall)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom\r\nVisitors must be buzzed in"
"Boston Public Library - Adams Street","690 Adams Street, Dorchester, MA","02119","42.286360","-71.054533","Monday: 12 – 8 P.M.\r\nTuesday: 10 A.M. – 6 P.M.\r\nWednesday: 12 – 8 P.M.\r\nThursday: 10 A.M. – 6 P.M.\r\nFriday and Saturday: 9 A.M. – 5 P.M.\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nTwo gender-specific bathrooms (one male, one female)\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Codman Square","690 Washington Street, Dorchester, MA","02119","42.287608","-71.071094","Monday: 12 – 8 P.M.\r\nTuesday and Wednesday: 10 A.M. – 6 P.M.\r\nThursday: 12 – 8 P.M.\r\nFriday and Saturday: 9 A.M. – 5 P.M.\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nTwo gender-specific bathrooms (two male, three female)\r\nNo family bathrooms (women's bathrooms have changing tables)\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Fields Corner","1520 Dorchester Avenue, Dorchester, MA","02119","42.298746","-71.060505","Monday: 10 A.M. – 6 P.M.\r\nTuesday: 12  – 8 P.M.\r\nWedneday and Thursday: 10 A.M. – 6 P.M.\r\nFriday: 9 A.M. – 5 P.M.\r\nSaturday: 9 A.M. – 2 P.M.\r\nSunday: CLOSED","One unisex, wheelchair-accessible stall\r\nNo family bathrooms\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Grove Hall","41 Geneva Avenue, Dorchester, MA","02121","42.304075","-71.073460","Monday through Wedneday: 10 A.M. – 6 P.M.\r\nThursday: 12 – 8 P.M.\r\nFriday and Saturday: 9 A.M. – 5 P.M.\r\nSunday: CLOSED","Wheelchair-accessible stalls\r\nGender-specific bathrooms (one male stall, three female stalls)\r\nFamily bathroom (for children, has a changing table)\r\nDon't need to use stairs to enter building, bathroom"
"Boston Public Library - Lower Mills","27 Richmond Street, Dorchester, MA","02121","42.273704","-71.068450","Monday: 12 P.M. – 8 P.M.\r\nTuesday, Wednesday: 10 A.M. – 6 P.M.\r\nThursday: 12 – 8 P.M.\r\nFriday: 9 A.M. – 5 P.M.\r\nSaturday: 9 A.M. – 2 P.M.\r\nSunday: Closed","Wheelchair-accessible Stalls\r\nGender-specific Bathrooms (Two Male Stalls, Two Female Stalls)\r\nNo Family Bathroom, But There Are Changing Tables In All Bathrooms\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
"Boston Public Library - Uphams Corner","500 Columbia Road, Dorchester, MA","02121","42.314751","-71.067448","Monday Through Wednesday: 10AM – 6PM\r\nThursday: 12PM – 8PM\r\nFriday: 9AM – 5PM\r\nSaturday: 9AM - 2PM\r\nSunday: Closed","No Wheelchair-accessible Stalls\r\nOne Unisex Bathroom\r\nNo Family Bathrooms\r\nNeed To Use Stairs To Enter Building, Bathroom"
"Edward M. Kennedy Institute for the United State Senate","210 Morrissey Boulevard, Dorchester, MA","02121","42.312618","-71.046143","Tuesday - Sunday: 10 AM - 5PM","Wheelchair Accessible Stalls\r\nGender-specific Bathroom (Nine Male And Female Stalls)\r\nNo Family Bathrooms\r\nDon't Need To Use Stairs To Enter Building Or Bathroom"
"Savin Hill and Malibu Beach","68 Denny Street, Dorchester, MA","02121","42.308882","-71.051047","Dawn to Dusk","SEASONAL: MEMORIAL DAY WEEKEND TO LABOR DAY\r\n\r\nWheelchair Accessible Stalls\r\nTwo Unisex Bathrooms (No Gender-specific Bathrooms Or Family Bathrooms)\r\nDon't Need To Use Stairs To Enter Building Or Bathroom"
"Tenean Beach","164 Tenean St, Boston, MA","02122","42.292169","-71.043034","Monday-Sunday: Dawn to Dusk","SEASONAL: MEMORIAL DAY WEEKEND TO LABOR DAY\r\n\r\nWheelchair Accessible Stalls\r\nTwo Unisex Bathrooms (No Gender-specific Bathrooms Or Family Bathrooms)\r\nDon't Need To Use Stairs To Enter Building Or Bathroom"
"UMass Boston East Building Residential Hall","240 Morrissey Blvd, Boston, MA","02125","42.316337","-71.039666","7AM - 12AM","Wheelchair Accessible Stalls\r\nGender-specific Bathrooms (Three Male Stalls, Nine Female Stalls, Two Unisex Stalls)\r\nNo Family Bathroom\r\nDon't Need To Use Stairs To Enter Building, Bathroom"
